timestamps,TP9,AF7,AF8,TP10,Right AUX
1757889879.366,133.789,-7.812,219.727,14.160,0.000
1757889879.369,-97.656,-43.945,-223.633,-31.250,0.000
1757889879.373,-137.695,-42.969,-469.238,-44.434,0.000
1757889879.377,-3.906,-19.043,-146.973,-17.090,0.000
1757889879.381,110.840,-15.625,203.125,2.441,0.000
1757889879.385,-17.090,-46.387,-109.375,-31.738,0.000
1757889879.389,-177.246,-60.547,-532.227,-59.570,0.000
1757889879.393,-36.133,-30.273,-379.883,-36.133,0.000
1757889879.397,103.027,-2.441,144.043,-22.949,0.000
1757889879.401,61.523,-33.691,23.438,-4.883,0.000
1757889879.405,-159.668,-59.570,-469.727,-44.922,0.000
1757889879.408,-107.422,-35.156,-371.582,-59.570,0.000
1757889879.412,86.914,-12.695,117.188,-10.254,0.000
1757889879.416,54.199,-34.668,151.367,2.930,0.000
1757889879.420,-91.309,-62.988,-351.074,-24.902,0.000
1757889879.424,-167.480,-45.898,-431.152,-55.176,0.000
1757889879.428,21.484,-17.578,12.207,-18.066,0.000
1757889879.432,84.473,-21.973,213.379,-0.488,0.000
1757889879.436,-68.848,-49.805,-246.582,-28.320,0.000
1757889879.440,-159.668,-42.969,-482.910,-61.523,0.000
1757889879.444,-51.270,-16.113,-77.148,-61.035,0.000
1757889879.448,104.980,-15.625,224.609,-9.766,0.000
1757889879.451,-38.086,-38.086,-183.594,-35.645,0.000
1757889879.455,-128.906,-45.898,-487.305,-62.012,0.000
1757889879.459,-109.863,-24.414,-332.031,-68.359,0.000
1757889879.463,96.191,-0.488,86.914,-32.227,0.000
1757889879.467,66.406,-21.973,73.242,-23.926,0.000
1757889879.471,-152.832,-47.852,-362.793,-57.617,0.000
1757889879.475,-105.469,-41.504,-430.176,-40.039,0.000
1757889879.479,2.930,-20.508,0.488,-25.879,0.000
1757889879.483,106.934,-21.973,165.039,4.395,0.000
1757889879.487,-70.312,-45.898,-268.555,-23.438,0.000
1757889879.491,-159.180,-48.828,-394.043,-38.574,0.000
1757889879.494,-20.508,-31.250,-125.000,-27.344,0.000
1757889879.498,106.445,-18.555,143.066,-27.832,0.000
1757889879.502,13.184,-42.969,-111.328,-14.648,0.000
1757889879.506,-179.199,-44.434,-447.266,-54.688,0.000
1757889879.510,-41.504,-19.043,-221.191,-53.711,0.000
1757889879.514,73.242,-6.836,198.242,-33.203,0.000
1757889879.518,62.988,-29.297,12.695,-26.855,0.000
1757889879.522,-120.605,-47.363,-395.508,-66.895,0.000
1757889879.526,-109.375,-32.227,-301.758,-67.871,0.000
1757889879.530,96.191,-4.883,130.371,-15.625,0.000
1757889879.534,66.406,-16.113,171.875,-16.602,0.000
1757889879.537,-85.938,-56.641,-327.148,-31.250,0.000
1757889879.541,-142.090,-42.480,-497.070,-56.152,0.000
1757889879.545,62.500,-1.953,-3.418,-19.043,0.000
1757889879.549,105.957,-12.695,225.098,8.789,0.000
1757889879.553,-36.133,-42.969,-229.004,-12.695,0.000
1757889879.557,-125.488,-37.598,-453.613,-34.180,0.000
1757889879.561,-42.969,-7.812,-21.973,-33.691,0.000
1757889879.565,139.648,-5.371,283.691,3.906,0.000
1757889879.569,-41.992,-37.598,-106.445,-27.344,0.000
1757889879.573,-115.723,-43.945,-456.543,-28.809,0.000
1757889879.577,-48.340,-21.973,-250.000,-23.926,0.000
1757889879.580,58.594,-13.672,200.684,-18.555,0.000
1757889879.584,49.805,-40.527,-72.266,-15.137,0.000
1757889879.588,-129.395,-48.828,-520.996,-71.289,0.000
1757889879.592,-79.590,-24.902,-343.262,-78.613,0.000
1757889879.596,43.945,-8.301,106.934,-57.129,0.000
1757889879.600,93.750,-22.461,154.297,-15.137,0.000
1757889879.604,-76.660,-42.480,-292.969,-27.832,0.000
1757889879.608,-120.117,-35.156,-375.488,-40.039,0.000
1757889879.612,28.320,-9.277,28.809,-5.371,0.000
1757889879.616,74.219,-10.254,231.934,15.137,0.000
1757889879.619,10.742,-43.945,-171.875,9.766,0.000
1757889879.623,-152.344,-40.039,-470.703,-46.387,0.000
1757889879.627,-1.953,-19.043,-235.352,-21.973,0.000
1757889879.631,100.098,-13.184,103.027,-6.836,0.000
1757889879.635,5.371,-24.902,-120.605,-17.578,0.000
1757889879.639,-85.449,-36.133,-465.332,-23.438,0.000
1757889879.643,-97.656,-19.531,-274.414,-37.598,0.000
1757889879.647,93.262,-4.395,161.133,-1.953,0.000
1757889879.651,23.926,-19.043,81.055,-25.879,0.000
1757889879.655,-86.426,-38.574,-352.539,-47.363,0.000
1757889879.659,-122.559,-24.902,-379.395,-56.152,0.000
1757889879.662,31.250,8.301,44.922,-27.344,0.000
1757889879.666,68.359,-9.277,170.410,-7.324,0.000
1757889879.670,-112.793,-42.969,-283.691,-48.340,0.000
1757889879.674,-103.027,-34.180,-505.371,-51.758,0.000
1757889879.678,-32.715,-6.836,-123.535,-54.199,0.000
1757889879.682,89.844,-6.348,209.961,-34.668,0.000
1757889879.686,-59.570,-41.016,-208.496,-42.969,0.000
1757889879.690,-129.395,-43.457,-499.023,-38.086,0.000
1757889879.694,-21.973,-10.742,-146.484,-23.438,0.000
1757889879.698,67.871,-2.441,256.348,-17.578,0.000
1757889879.702,11.230,-34.668,-28.320,-24.414,0.000
1757889879.705,-140.137,-43.945,-445.801,-66.406,0.000
1757889879.709,-30.273,-17.578,-236.328,-46.875,0.000
1757889879.713,25.391,-3.418,219.238,-51.758,0.000
1757889879.717,29.785,-30.762,-16.113,-35.156,0.000
1757889879.721,-124.512,-47.852,-501.465,-42.480,0.000
1757889879.725,-122.070,-21.484,-437.500,-59.570,0.000
1757889879.729,61.523,0.000,31.250,-22.949,0.000
1757889879.733,-3.906,-14.160,210.938,-33.203,0.000
1757889879.737,-54.199,-41.016,-284.180,-20.020,0.000
1757889879.741,-138.672,-26.855,-441.406,-45.410,0.000
1757889879.744,-3.906,0.488,-8.789,-22.461,0.000
1757889879.748,68.848,-1.465,236.328,5.859,0.000
1757889879.752,-95.215,-32.227,-137.695,-36.621,0.000
1757889879.756,-131.836,-28.320,-464.355,-54.199,0.000
1757889879.760,-59.082,-6.348,-192.383,-42.480,0.000
1757889879.764,85.449,-2.441,173.828,-20.508,0.000
1757889879.768,-28.320,-21.484,-75.684,-46.387,0.000
1757889879.772,-96.680,-30.762,-442.383,-31.250,0.000
1757889879.776,-100.586,-20.020,-291.016,-14.648,0.000
1757889879.780,36.621,-5.859,162.598,-2.441,0.000
1757889879.784,59.082,-10.254,142.578,-27.832,0.000
1757889879.787,-147.949,-32.715,-263.672,-90.820,0.000
1757889879.791,-53.223,-34.668,-364.258,-56.641,0.000
1757889879.795,14.160,-16.113,11.719,-49.316,0.000
1757889879.799,73.242,-12.207,222.656,-36.133,0.000
1757889879.803,-63.965,-44.922,-162.109,-48.828,0.000
1757889879.807,-131.836,-58.105,-433.594,-56.152,0.000
1757889879.811,28.809,-26.855,-177.734,-17.090,0.000
1757889879.815,77.637,-8.789,217.285,-23.438,0.000
1757889879.819,-21.973,-37.109,-41.992,-30.762,0.000
1757889879.823,-188.965,-56.641,-465.332,-52.246,0.000
1757889879.827,-32.715,-36.621,-327.148,-15.625,0.000
1757889879.830,50.293,-16.113,181.641,-6.836,0.000
1757889879.834,-30.762,-43.945,51.758,-16.113,0.000
1757889879.838,-146.484,-59.570,-422.852,-31.738,0.000
1757889879.842,-129.395,-37.598,-316.406,-64.941,0.000
1757889879.846,89.844,-17.578,168.457,-38.574,0.000
1757889879.850,-1.953,-30.762,153.320,-55.176,0.000
1757889879.854,-128.418,-56.152,-349.609,-58.594,0.000
1757889879.858,-122.559,-39.551,-472.656,-51.270,0.000
1757889879.862,67.871,-4.883,-22.949,-7.812,0.000
1757889879.866,58.105,-19.531,242.676,-1.465,0.000
1757889879.869,-104.980,-57.129,-252.930,-32.227,0.000
