timestamps,TP9,AF7,AF8,TP10,Right AUX
1757709998.310,-35.645,-1000.000,-331.055,-40.527,0.000
1757709998.314,33.203,-1000.000,-258.789,7.324,0.000
1757709998.318,16.602,-1000.000,-492.676,52.246,0.000
1757709998.322,-69.824,-1000.000,-653.320,-5.371,0.000
1757709998.326,-66.406,-1000.000,-412.109,-64.941,0.000
1757709998.330,9.766,-1000.000,-337.402,-23.438,0.000
1757709998.334,22.461,-1000.000,-542.480,47.363,0.000
1757709998.338,-60.059,-1000.000,-724.121,17.578,0.000
1757709998.342,-86.426,-1000.000,-457.520,-55.664,0.000
1757709998.346,-5.371,-1000.000,-268.555,-23.438,0.000
1757709998.349,20.020,-1000.000,-383.789,22.461,0.000
1757709998.353,-45.410,-1000.000,-543.457,23.438,0.000
1757709998.357,-102.051,-1000.000,-446.289,-47.363,0.000
1757709998.361,-32.715,-1000.000,-321.777,-27.832,0.000
1757709998.365,29.297,-1000.000,-372.559,22.949,0.000
1757709998.369,-12.695,-1000.000,-421.387,24.902,0.000
1757709998.373,-99.121,-1000.000,-499.512,-41.504,0.000
1757709998.377,-59.570,-1000.000,-437.012,-63.965,0.000
1757709998.381,8.789,-1000.000,-475.098,2.441,0.000
1757709998.385,-3.418,-1000.000,-525.391,42.969,0.000
1757709998.389,-85.449,-1000.000,-444.824,-30.762,0.000
1757709998.392,-73.242,-1000.000,-402.832,-76.660,0.000
1757709998.396,5.859,-1000.000,-367.188,-35.645,0.000
1757709998.400,9.277,-1000.000,-354.492,23.926,0.000
1757709998.404,-69.336,-1000.000,-459.961,6.348,0.000
1757709998.408,-101.074,-1000.000,-509.766,-58.594,0.000
1757709998.412,-22.949,-1000.000,-432.617,-32.227,0.000
1757709998.416,26.367,-1000.000,-363.281,28.809,0.000
1757709998.420,-24.414,-1000.000,-447.754,26.855,0.000
1757709998.424,-111.816,-1000.000,-619.629,-49.316,0.000
1757709998.428,-59.082,-1000.000,-548.828,-31.738,0.000
1757709998.431,6.348,-1000.000,-272.949,6.348,0.000
1757709998.435,-13.672,-1000.000,-394.531,52.734,0.000
1757709998.439,-97.656,-1000.000,-525.391,3.418,0.000
1757709998.443,-73.730,-1000.000,-348.633,-41.992,0.000
1757709998.447,3.906,-1000.000,-250.000,10.254,0.000
1757709998.451,14.160,-1000.000,-420.410,48.340,0.000
1757709998.455,-47.852,-1000.000,-552.246,5.371,0.000
1757709998.459,-62.012,-1000.000,-394.531,-39.551,0.000
1757709998.463,-13.672,-1000.000,-269.043,-29.297,0.000
